12:39:26.367 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/renditionfromleg],methods=[POST],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getPdfFromLegFile_compatibility(org.springframework.web.multipart.MultipartFile,java.lang.String)
12:39:26.367 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/cloneProposal],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.cloneProposalFromLeg(org.springframework.web.multipart.MultipartFile,java.lang.String,java.lang.String,java.lang.String)
12:39:26.368 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/milestones/{proposalRef}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFilesForProposal(java.lang.String)
12:39:26.368 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/export/processed],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.exportPackageProcessed(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String,int)
12:39:26.368 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/search/{userId}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getProposalsForUser(java.lang.String)
12:39:26.368 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/collectionfromleg],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.createCollectionFromLeg(org.springframework.web.multipart.MultipartFile)
12:39:26.369 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/compare],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.compareContents_compatibility(javax.servlet.http.HttpServletRequest,int,org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.MultipartFile)
12:39:26.369 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/cloneProposal],methods=[POST],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.cloneProposalFromLeg_compatibility(org.springframework.web.multipart.MultipartFile,java.lang.String,java.lang.String,java.lang.String)
12:39:26.369 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/{userId}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getProposalsForUser_compatibility(java.lang.String)
12:39:26.369 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/compare],methods=[POST],produces=[application/json;charset=UTF-8]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.compareContents(javax.servlet.http.HttpServletRequest,int,org.springframework.web.multipart.MultipartFile,org.springframework.web.multipart.MultipartFile)
